Season,Round,Team,Opp,Result,Series,Best_Player,Best_VORP,Second_Player,Second_VORP,Carry_Delta,Opp_Best_Player,Opp_Best_VORP,Team_SRS,Opp_SRS,SRS_Delta
2015,Eastern Conf First Round,TOR,WAS,L,0-4,Patrick Patterson,0.2,DeMar DeRozan,0.1,0.1,Bradley Beal,0.5,2.45,0.17,2.28
2015,Western Conf First Round,GSW,NOP,W,4-0,Stephen Curry,2.2,Draymond Green,1.3,0.9,Anthony Davis,0.4,10.01,1.13,8.88
2015,Western Conf First Round,NOP,GSW,L,0-4,Anthony Davis,0.4,Dante Cunningham,0.2,0.2,Stephen Curry,2.2,1.13,10.01,-8.88
2015,Western Conf First Round,HOU,DAL,W,4-1,James Harden,1.5,Trevor Ariza,0.6,0.9,Al-Farouq Aminu,0.4,3.82,3.36,0.46
2015,Western Conf First Round,DAL,HOU,L,1-4,Al-Farouq Aminu,0.4,Monta Ellis,0.3,0.1,James Harden,1.5,3.36,3.82,-0.46
2015,Western Conf First Round,LAC,SAS,W,4-3,Blake Griffin,1.2,Chris Paul,1.2,0.0,Tim Duncan*,0.6,6.8,6.34,0.46
2015,Western Conf First Round,SAS,LAC,L,3-4,Tim Duncan*,0.6,Kawhi Leonard,0.4,0.2,Blake Griffin,1.2,6.34,6.8,-0.46
2015,Western Conf First Round,MEM,POR,W,4-1,Marc Gasol,0.8,Tony Allen,0.4,0.4,Meyers Leonard,0.3,3.62,4.41,-0.79
2015,Western Conf First Round,POR,MEM,L,1-4,Meyers Leonard,0.3,CJ McCollum,0.2,0.1,Marc Gasol,0.8,4.41,3.62,0.79
2015,Eastern Conf Semifinals,CLE,CHI,W,4-2,LeBron James,2.1,Kyrie Irving,0.8,1.3,Jimmy Butler,1.0,4.08,2.54,1.54
2015,Eastern Conf Semifinals,CHI,CLE,L,2-4,Jimmy Butler,1.0,Mike Dunleavy,0.5,0.5,LeBron James,2.1,2.54,4.08,-1.54
2015,Eastern Conf Semifinals,ATL,WAS,W,4-2,Al Horford,0.8,DeMarre Carroll,0.7,0.1,Bradley Beal,0.5,4.75,0.17,4.58
2015,Eastern Conf Semifinals,WAS,ATL,L,2-4,Bradley Beal,0.5,Marcin Gortat,0.4,0.1,Al Horford,0.8,0.17,4.75,-4.58
2015,Western Conf Semifinals,HOU,LAC,W,4-3,James Harden,1.5,Trevor Ariza,0.6,0.9,Blake Griffin,1.2,3.82,6.8,-2.98
2015,Western Conf Semifinals,LAC,HOU,L,3-4,Blake Griffin,1.2,Chris Paul,1.2,0.0,James Harden,1.5,6.8,3.82,2.98
2015,Western Conf Semifinals,GSW,MEM,W,4-2,Stephen Curry,2.2,Draymond Green,1.3,0.9,Marc Gasol,0.8,10.01,3.62,6.39
2015,Western Conf Semifinals,MEM,GSW,L,2-4,Marc Gasol,0.8,Tony Allen,0.4,0.4,Stephen Curry,2.2,3.62,10.01,-6.39
2015,Eastern Conf Finals,CLE,ATL,W,4-0,LeBron James,2.1,Kyrie Irving,0.8,1.3,Al Horford,0.8,4.08,4.75,-0.67
2015,Eastern Conf Finals,ATL,CLE,L,0-4,Al Horford,0.8,DeMarre Carroll,0.7,0.1,LeBron James,2.1,4.75,4.08,0.67
2015,Western Conf Finals,GSW,HOU,W,4-1,Stephen Curry,2.2,Draymond Green,1.3,0.9,James Harden,1.5,10.01,3.82,6.19
2015,Western Conf Finals,HOU,GSW,L,1-4,James Harden,1.5,Trevor Ariza,0.6,0.9,Stephen Curry,2.2,3.82,10.01,-6.19
2015,Finals,GSW,CLE,W,4-2,Stephen Curry,2.2,Draymond Green,1.3,0.9,LeBron James,2.1,10.01,4.08,5.93
2015,Finals,CLE,GSW,L,2-4,LeBron James,2.1,Kyrie Irving,0.8,1.3,Stephen Curry,2.2,4.08,10.01,-5.93
2014,Eastern Conf First Round,IND,ATL,W,4-3,Paul George,1.6,David West,0.6,1.0,Paul Millsap,0.5,3.63,-0.88,4.51
2014,Eastern Conf First Round,ATL,IND,L,3-4,Paul Millsap,0.5,Jeff Teague,0.3,0.2,Paul George,1.6,-0.88,3.63,-4.51
2014,Eastern Conf First Round,MIA,CHA,W,4-0,LeBron James,2.4,Chris Bosh*,0.7,1.7,Kemba Walker,0.3,4.15,-0.89,5.04
2014,Eastern Conf First Round,CHA,MIA,L,0-4,Kemba Walker,0.3,Chris Douglas-Roberts,0.1,0.2,LeBron James,2.4,-0.89,4.15,-5.04
2014,Eastern Conf First Round,BRK,TOR,W,4-3,Joe Johnson,0.7,Kevin Garnett*,0.3,0.4,DeMar DeRozan,0.3,-1.58,2.55,-4.13
2014,Eastern Conf First Round,TOR,BRK,L,3-4,DeMar DeRozan,0.3,Kyle Lowry,0.3,0.0,Joe Johnson,0.7,2.55,-1.58,4.13
2014,Eastern Conf First Round,WAS,CHI,W,4-1,Bradley Beal,0.8,Trevor Ariza,0.7,0.1,Taj Gibson,0.3,0.48,1.2,-0.72
2014,Eastern Conf First Round,CHI,WAS,L,1-4,Taj Gibson,0.3,Mike Dunleavy,0.2,0.1,Bradley Beal,0.8,1.2,0.48,0.72
2014,Western Conf First Round,SAS,DAL,W,4-3,Kawhi Leonard,1.3,Manu GinÃ³bili*,1.1,0.2,Vince Carter*,0.3,8.0,2.91,5.09
2014,Western Conf First Round,DAL,SAS,L,3-4,Vince Carter*,0.3,DeJuan Blair,0.2,0.1,Kawhi Leonard,1.3,2.91,8.0,-5.09
2014,Western Conf First Round,OKC,MEM,W,4-3,Russell Westbrook,1.8,Kevin Durant,1.7,0.1,Mike Conley,0.4,6.66,2.18,4.48
2014,Western Conf First Round,MEM,OKC,L,3-4,Mike Conley,0.4,Marc Gasol,0.3,0.1,Russell Westbrook,1.8,2.18,6.66,-4.48
2014,Western Conf First Round,LAC,GSW,W,4-3,Chris Paul,1.3,Blake Griffin,0.8,0.5,Stephen Curry,0.5,7.27,5.15,2.12
2014,Western Conf First Round,GSW,LAC,L,3-4,Stephen Curry,0.5,Draymond Green,0.4,0.1,Chris Paul,1.3,5.15,7.27,-2.12
2014,Western Conf First Round,POR,HOU,W,4-2,Damian Lillard,0.8,Nicolas Batum,0.6,0.2,James Harden,0.4,4.44,5.06,-0.62
2014,Western Conf First Round,HOU,POR,L,2-4,James Harden,0.4,Dwight Howard*,0.4,0.0,Damian Lillard,0.8,5.06,4.44,0.62
2014,Eastern Conf Semifinals,IND,WAS,W,4-2,Paul George,1.6,David West,0.6,1.0,Bradley Beal,0.8,3.63,0.48,3.15
2014,Eastern Conf Semifinals,WAS,IND,L,2-4,Bradley Beal,0.8,Trevor Ariza,0.7,0.1,Paul George,1.6,0.48,3.63,-3.15
2014,Eastern Conf Semifinals,MIA,BRK,W,4-1,LeBron James,2.4,Chris Bosh*,0.7,1.7,Joe Johnson,0.7,4.15,-1.58,5.73
2014,Eastern Conf Semifinals,BRK,MIA,L,1-4,Joe Johnson,0.7,Kevin Garnett*,0.3,0.4,LeBron James,2.4,-1.58,4.15,-5.73
2014,Western Conf Semifinals,SAS,POR,W,4-1,Kawhi Leonard,1.3,Manu GinÃ³bili*,1.1,0.2,Damian Lillard,0.8,8.0,4.44,3.56
2014,Western Conf Semifinals,POR,SAS,L,1-4,Damian Lillard,0.8,Nicolas Batum,0.6,0.2,Kawhi Leonard,1.3,4.44,8.0,-3.56
2014,Western Conf Semifinals,OKC,LAC,W,4-2,Russell Westbrook,1.8,Kevin Durant,1.7,0.1,Chris Paul,1.3,6.66,7.27,-0.61
2014,Western Conf Semifinals,LAC,OKC,L,2-4,Chris Paul,1.3,Blake Griffin,0.8,0.5,Russell Westbrook,1.8,7.27,6.66,0.61
2014,Eastern Conf Finals,MIA,IND,W,4-2,LeBron James,2.4,Chris Bosh*,0.7,1.7,Paul George,1.6,4.15,3.63,0.52
2014,Eastern Conf Finals,IND,MIA,L,2-4,Paul George,1.6,David West,0.6,1.0,LeBron James,2.4,3.63,4.15,-0.52
2014,Western Conf Finals,SAS,OKC,W,4-2,Kawhi Leonard,1.3,Manu GinÃ³bili*,1.1,0.2,Russell Westbrook,1.8,8.0,6.66,1.34
2014,Western Conf Finals,OKC,SAS,L,2-4,Russell Westbrook,1.8,Kevin Durant,1.7,0.1,Kawhi Leonard,1.3,6.66,8.0,-1.34
2014,Finals,SAS,MIA,W,4-1,Kawhi Leonard,1.3,Manu GinÃ³bili*,1.1,0.2,LeBron James,2.4,8.0,4.15,3.85
2014,Finals,MIA,SAS,L,1-4,LeBron James,2.4,Chris Bosh*,0.7,1.7,Kawhi Leonard,1.3,4.15,8.0,-3.85
2013,Eastern Conf First Round,MIA,MIL,W,4-0,LeBron James,3.0,Dwyane Wade*,1.0,2.0,Mike Dunleavy,0.3,7.03,-1.83,8.86
2013,Eastern Conf First Round,MIL,MIA,L,0-4,Mike Dunleavy,0.3,Monta Ellis,0.1,0.2,LeBron James,3.0,-1.83,7.03,-8.86
2013,Eastern Conf First Round,NYK,BOS,W,4-2,Carmelo Anthony*,0.6,Raymond Felton,0.5,0.1,Kevin Garnett*,0.3,3.73,-0.62,4.35
2013,Eastern Conf First Round,BOS,NYK,L,2-4,Kevin Garnett*,0.3,Jason Terry,0.3,0.0,Carmelo Anthony*,0.6,-0.62,3.73,-4.35
2013,Eastern Conf First Round,IND,ATL,W,4-2,Paul George,1.1,Roy Hibbert,0.9,0.2,Al Horford,0.3,3.34,-0.08,3.42
2013,Eastern Conf First Round,ATL,IND,L,2-4,Al Horford,0.3,Josh Smith,0.3,0.0,Paul George,1.1,-0.08,3.34,-3.42
2013,Eastern Conf First Round,CHI,BRK,W,4-3,Jimmy Butler,0.5,Joakim Noah,0.3,0.2,Deron Williams,0.5,-0.02,1.25,-1.27
2013,Eastern Conf First Round,BRK,CHI,L,3-4,Deron Williams,0.5,Brook Lopez,0.4,0.1,Jimmy Butler,0.5,1.25,-0.02,1.27
2013,Western Conf First Round,OKC,HOU,W,4-2,Kevin Durant,1.4,Reggie Jackson,0.4,1.0,James Harden,0.5,9.15,3.69,5.46
2013,Western Conf First Round,HOU,OKC,L,2-4,James Harden,0.5,Ãmer AÅÄ±k,0.2,0.3,Kevin Durant,1.4,3.69,9.15,-5.46
2013,Western Conf First Round,SAS,LAL,W,4-0,Kawhi Leonard,1.4,Danny Green,1.1,0.3,Pau Gasol*,0.2,6.67,1.48,5.19
2013,Western Conf First Round,LAL,SAS,L,0-4,Pau Gasol*,0.2,Steve Blake,0.1,0.1,Kawhi Leonard,1.4,1.48,6.67,-5.19
2013,Western Conf First Round,GSW,DEN,W,4-2,Stephen Curry,0.8,Harrison Barnes,0.3,0.5,Andre Iguodala,0.5,1.32,5.37,-4.05
2013,Western Conf First Round,DEN,GSW,L,2-4,Andre Iguodala,0.5,Ty Lawson,0.3,0.2,Stephen Curry,0.8,5.37,1.32,4.05
2013,Western Conf First Round,MEM,LAC,W,4-2,Marc Gasol,1.1,Mike Conley,0.9,0.2,Chris Paul,0.7,4.32,6.43,-2.11
2013,Western Conf First Round,LAC,MEM,L,2-4,Chris Paul,0.7,Matt Barnes,0.2,0.5,Marc Gasol,1.1,6.43,4.32,2.11
2013,Eastern Conf Semifinals,MIA,CHI,W,4-1,LeBron James,3.0,Dwyane Wade*,1.0,2.0,Jimmy Butler,0.5,7.03,-0.02,7.05
2013,Eastern Conf Semifinals,CHI,MIA,L,1-4,Jimmy Butler,0.5,Joakim Noah,0.3,0.2,LeBron James,3.0,-0.02,7.03,-7.05
2013,Eastern Conf Semifinals,IND,NYK,W,4-2,Paul George,1.1,Roy Hibbert,0.9,0.2,Carmelo Anthony*,0.6,3.34,3.73,-0.39
