Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP,Year
121,Jarell Martin,PF,21,MEM,2.0,46.0,7.1,.423,.000,.750,8.7,8.9,8.8,3.6,3.5,0.0,22.0,13.6,,-0.1,0.0,-0.1,-0.065,,-4.6,-1.3,-6.0,0.0,2016
122,Kevin Martin,SG,32,SAS,5.0,49.0,6.0,.516,.400,.150,0.0,8.9,4.7,9.5,1.1,0.0,22.0,26.0,,-0.1,0.0,-0.1,-0.067,,-5.6,-1.7,-7.3,-0.1,2016
123,Wesley Matthews,SF,29,DAL,5.0,173.0,9.7,.475,.583,.317,2.6,9.9,6.1,5.6,1.8,0.0,5.5,19.4,,0.0,-0.2,-0.1,-0.039,,-1.7,-1.1,-2.9,0.0,2016
124,Luc Mbah a Moute,PF,29,LAC,5.0,78.0,5.7,.699,.000,.167,2.6,10.1,6.3,1.8,2.0,0.0,23.7,4.8,,0.0,0.1,0.1,0.074,,-4.7,2.3,-2.4,0.0,2016
125,James Michael McAdoo,PF,23,GSW,8.0,38.0,8.5,.434,.000,1.000,0.0,22.5,11.4,7.0,3.9,4.2,14.8,7.8,,0.0,0.1,0.1,0.079,,-4.9,4.9,0.0,0.0,2016
126,CJ McCollum,SG,24,POR,11.0,442.0,14.0,.518,.294,.234,1.6,7.9,4.6,14.2,1.1,0.9,8.4,22.9,,0.5,0.1,0.6,0.062,,0.6,-1.4,-0.8,0.1,2016
127,K.J. McDaniels,SF,22,HOU,4.0,34.0,7.3,.346,.231,.000,2.9,19.8,10.9,5.2,0.0,7.6,0.0,15.7,,0.0,0.0,0.0,-0.026,,-1.4,0.2,-1.2,0.0,2016
128,JaVale McGee,C,28,DAL,2.0,14.0,-0.5,.431,.000,3.000,16.0,8.7,12.5,0.0,3.7,0.0,39.3,25.3,,-0.1,0.0,-0.1,-0.3,,-12.4,-2.3,-14.7,0.0,2016
129,Jordan McRae,PG,24,CLE,2.0,4.0,110.5,1.125,.250,.000,0.0,58.2,29.5,0.0,0.0,0.0,0.0,46.2,,0.2,0.0,0.2,1.896,,42.8,15.0,57.8,0.1,2016
130,Josh McRoberts,PF,28,MIA,10.0,134.0,13.7,.519,.206,.176,6.5,15.9,11.5,10.6,2.0,2.9,9.8,14.4,,0.2,0.3,0.4,0.153,,-1.6,3.0,1.4,0.1,2016
131,Jodie Meeks,SG,28,DET,1.0,2.0,46.3,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.1,,0.0,0.0,0.0,0.312,,20.3,4.6,24.8,0.0,2016
132,Salah Mejri,C,29,DAL,4.0,76.0,14.7,.622,.000,1.200,7.4,12.8,10.0,2.0,2.1,5.8,0.0,9.3,,0.2,0.0,0.1,0.086,,-0.6,2.6,2.0,0.1,2016
133,Jordan Mickey,PF,21,BOS,2.0,10.0,24.1,.500,.000,.000,9.8,11.1,10.4,39.8,0.0,8.9,0.0,17.2,,0.0,0.0,0.0,0.229,,7.0,5.0,12.0,0.0,2016
134,C.J. Miles,SF,28,IND,7.0,92.0,3.2,.305,.526,.079,5.4,23.3,15.0,7.5,0.6,0.9,7.1,22.1,,-0.3,0.1,-0.2,-0.091,,-6.3,-2.7,-8.9,-0.2,2016
135,Andre Miller,PG,39,SAS,5.0,35.0,15.8,.571,.429,.286,7.0,9.3,8.3,27.8,0.0,0.0,0.0,10.5,,0.1,0.0,0.2,0.231,,1.7,1.0,2.7,0.0,2016
136,Patty Mills,PG,27,SAS,10.0,167.0,15.2,.571,.679,.208,0.0,9.1,4.8,17.9,2.2,0.0,12.2,18.4,,0.2,0.2,0.4,0.124,,1.4,1.1,2.5,0.2,2016
137,Paul Millsap,PF,30,ATL,10.0,365.0,17.6,.518,.241,.401,8.7,18.6,13.8,12.5,1.8,5.7,13.9,23.0,,0.2,0.6,0.8,0.109,,0.5,1.5,2.1,0.4,2016
138,Nazr Mohammed,C,38,OKC,5.0,10.0,8.2,.500,.000,.000,11.4,21.9,16.7,0.0,0.0,7.9,33.3,13.0,,0.0,0.0,0.0,-0.004,,-5.0,0.5,-4.6,0.0,2016
139,Luis Montero,SG,22,POR,6.0,8.0,42.2,1.333,.667,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,,0.0,0.0,0.0,0.265,,21.8,4.9,26.7,0.1,2016
140,Marcus Morris,SF,26,DET,4.0,144.0,16.7,.621,.383,.489,1.8,9.0,5.5,11.6,0.8,0.0,8.0,21.7,,0.4,-0.1,0.3,0.096,,1.1,-0.6,0.4,0.1,2016
141,Anthony Morrow,SG,30,OKC,14.0,76.0,12.7,.651,.583,.417,0.0,2.9,1.5,2.0,0.7,0.0,12.3,18.5,,0.2,0.0,0.2,0.12,,1.1,-0.2,0.9,0.1,2016
142,Donatas MotiejÅ«nas,PF,25,HOU,5.0,98.0,11.6,.495,.243,.459,10.2,18.3,14.0,9.7,2.0,1.8,21.2,23.7,,-0.1,0.1,-0.1,-0.044,,-1.1,-0.7,-1.7,0.0,2016
143,Timofey Mozgov,C,29,CLE,13.0,76.0,4.7,.447,.000,.267,7.9,24.5,16.3,3.7,2.1,3.8,32.3,15.1,,-0.2,0.1,0.0,-0.023,,-8.4,0.8,-7.6,-0.1,2016
144,Xavier Munford,SG,23,MEM,4.0,89.0,6.7,.329,.286,.071,1.1,12.2,5.8,19.9,3.6,3.0,14.8,17.5,,-0.2,0.0,-0.2,-0.106,,-4.0,1.8,-2.2,0.0,2016
145,Mike Muscala,C,24,ATL,9.0,67.0,13.7,.575,.300,.100,11.8,15.3,13.6,7.4,0.0,1.3,12.6,16.0,,0.1,0.0,0.2,0.109,,0.2,-1.0,-0.8,0.0,2016
146,Lucas Nogueira,C,23,TOR,5.0,29.0,11.3,.750,.000,.000,3.9,30.8,16.5,0.0,0.0,0.0,0.0,6.4,,0.1,0.0,0.1,0.138,,-0.8,0.1,-0.7,0.0,2016
147,Dirk Nowitzki*,PF,37,DAL,5.0,170.0,18.7,.564,.133,.205,2.0,15.0,8.2,9.5,0.6,1.5,7.2,26.6,,0.3,-0.2,0.1,0.034,,3.2,-1.0,2.2,0.2,2016
148,Kelly Olynyk,C,24,BOS,4.0,32.0,-8.3,.111,.333,.000,6.1,7.0,6.5,14.0,1.5,0.0,30.8,17.5,,-0.2,0.0,-0.2,-0.275,,-12.6,-3.3,-16.0,-0.1,2016
149,Zaza Pachulia,C,31,DAL,5.0,112.0,17.2,.524,.000,.708,10.0,18.5,14.1,21.7,1.4,0.8,6.0,13.8,,0.3,-0.1,0.3,0.109,,2.4,2.0,4.5,0.2,2016
150,Tony Parker*,PG,33,SAS,10.0,264.0,14.3,.499,.163,.143,0.5,8.7,4.8,31.4,1.2,0.6,14.7,21.5,,0.2,0.3,0.4,0.08,,-0.4,-0.3,-0.7,0.1,2016
151,Lamar Patterson,SG,24,ATL,4.0,20.0,2.7,.403,.429,.143,0.0,25.7,13.4,22.9,2.5,0.0,35.0,25.6,,-0.1,0.0,-0.1,-0.183,,-7.8,0.5,-7.3,0.0,2016
152,Patrick Patterson,PF,26,TOR,20.0,583.0,10.1,.519,.515,.191,5.6,10.5,7.9,6.8,0.6,1.4,10.9,13.2,,0.5,0.3,0.7,0.061,,0.4,-0.5,-0.1,0.3,2016
